iter	RMSE
0	3485.19966
1	2825.933908
2	2427.520946
3	2192.766786
4	2065.797038
5	1995.731105
6	1952.197434
7	1909.87941
8	1890.750349
9	1870.843224
10	1858.847793
11	1845.34071
12	1834.765819
13	1822.423481
14	1812.722569
15	1803.069651
16	1793.855209
17	1787.530174
18	1775.850782
19	1770.258639
20	1759.055626
21	1753.651846
22	1745.719547
23	1744.156565
24	1740.865871
25	1736.908566
26	1730.621371
27	1726.984458
28	1723.258014
29	1717.36361
30	1711.030428
31	1706.031666
32	1701.957857
33	1699.032904
34	1694.523221
35	1688.392385
36	1683.683643
37	1680.660012
38	1678.052266
39	1674.658726
40	1670.484058
41	1666.267996
42	1662.51982
43	1659.856943
44	1656.658532
45	1654.904952
46	1650.338315
47	1647.506769
48	1645.834783
49	1642.826749
50	1639.306028
51	1634.315153
52	1631.539652
53	1629.895557
54	1626.77344
55	1624.688855
56	1623.38112
57	1621.937333
58	1619.240277
59	1617.960598
60	1615.440698
61	1613.384851
62	1610.730685
63	1608.344128
64	1607.127543
65	1604.091065
66	1602.653808
67	1600.656676
68	1598.220765
69	1596.706468
70	1593.587715
71	1590.480131
72	1588.233093
73	1586.037493
74	1581.866605
75	1577.692311
76	1576.516488
77	1574.454771
78	1572.878341
79	1571.446328
80	1569.63913
81	1568.046955
82	1567.292604
83	1565.610542
84	1565.376353
85	1564.321137
86	1563.04968
87	1561.133651
88	1559.998327
89	1558.027055
90	1557.259167
91	1555.062237
92	1552.407607
93	1549.272804
94	1547.736636
95	1545.831493
96	1544.795282
97	1543.902894
98	1542.117794
99	1539.911035
100	1538.29463
101	1536.815767
102	1535.90693
103	1533.882782
104	1532.644796
105	1531.551303
106	1529.797509
107	1527.837284
108	1526.913684
109	1525.733124
110	1524.248151
111	1523.369758
112	1522.474551
113	1519.518116
114	1517.907156
115	1516.534637
116	1515.811387
117	1514.389732
118	1513.343766
119	1512.42843
120	1511.035398
121	1509.882137
122	1508.11317
123	1506.852689
124	1506.264542
125	1505.591737
126	1504.864516
127	1503.536732
128	1502.560837
129	1501.267657
130	1500.591333
131	1499.205665
132	1497.820688
133	1496.933043
134	1496.307152
135	1494.743795
136	1493.227612
137	1492.578461
138	1491.106457
139	1490.282265
140	1488.968383
141	1488.561269
142	1487.847107
143	1486.394167
144	1485.416845
145	1484.683941
146	1483.923738
147	1481.086658
148	1479.78572
149	1478.155478
150	1477.221069
151	1476.669828
152	1475.875361
153	1474.219413
154	1472.764319
155	1471.901104
156	1470.496948
157	1469.389018
158	1468.207952
159	1466.884021
160	1466.462764
161	1465.439071
162	1465.217849
163	1464.587171
164	1463.074665
165	1462.314039
166	1461.683081
167	1460.965904
168	1460.131884
169	1458.004526
170	1457.115751
171	1456.747552
172	1455.571978
173	1454.934265
174	1453.438675
175	1452.907813
176	1452.225978
177	1451.107838
178	1449.400052
179	1448.829508
180	1447.96309
181	1447.304876
182	1446.188604
183	1444.953281
184	1443.528169
185	1443.270693
186	1442.504021
187	1442.170208
188	1440.359124
189	1439.902218
190	1439.131523
191	1438.616953
192	1437.618571
193	1436.72107
194	1436.090954
195	1435.843237
196	1434.848879
197	1434.59407
198	1434.113565
199	1432.628406
