iter	Passed	Remaining
0	348	69373
1	561	55597
2	738	48483
3	927	45446
4	1105	43098
5	1282	41483
6	1477	40731
7	1662	39894
8	1862	39521
9	2043	38824
10	2236	38420
11	2451	38407
12	2633	37876
13	2813	37381
14	3026	37321
15	3236	37224
16	3439	37021
17	3641	36819
18	3815	36343
19	4018	36167
20	4219	35962
21	4459	36082
22	4678	36001
23	4877	35769
24	5073	35511
25	5326	35643
26	5550	35567
27	5758	35373
28	5967	35188
29	6174	34991
30	6381	34789
31	6593	34615
32	6764	34231
33	6976	34062
34	7190	33899
35	7424	33820
36	7675	33812
37	7914	33740
38	8107	33467
39	8348	33394
40	8550	33161
41	8772	33002
42	8965	32734
43	9144	32419
44	9365	32258
45	9566	32025
46	9766	31793
47	9944	31490
48	10158	31305
49	10383	31149
50	10626	31047
51	10846	30870
52	11055	30664
53	11255	30431
54	11468	30234
55	11698	30080
56	11955	29994
57	12176	29810
58	12428	29700
59	12622	29453
60	12851	29283
61	13053	29053
62	13269	28855
63	13451	28584
64	13650	28350
65	13878	28178
66	14098	27986
67	14316	27790
68	14531	27588
69	14733	27361
70	14931	27129
71	15137	26910
72	15357	26717
73	15544	26467
74	15738	26231
75	15966	26051
76	16147	25794
77	16345	25566
78	16548	25346
79	16753	25130
80	16925	24866
81	17123	24641
82	17325	24422
83	17535	24215
84	17721	23975
85	17920	23754
86	18127	23544
87	18357	23363
88	18550	23135
89	18742	22907
90	18970	22723
91	19196	22534
92	19453	22381
93	19685	22198
94	19922	22019
95	20146	21825
96	20391	21653
97	20609	21450
98	20839	21260
99	21048	21048
100	21259	20838
101	21475	20633
102	21660	20398
103	21899	20214
104	22091	19987
105	22306	19780
106	22502	19558
107	22699	19336
108	22938	19150
109	23165	18953
110	23387	18752
111	23607	18548
112	23854	18366
113	24065	18154
114	24294	17956
115	24491	17734
116	24715	17533
117	24953	17340
118	25158	17124
119	25377	16918
120	25610	16721
121	25818	16506
122	26014	16285
123	26227	16075
124	26440	15864
125	26654	15654
126	26858	15438
127	27079	15232
128	27281	15015
129	27470	14791
130	27704	14592
131	27888	14366
132	28117	14164
133	28320	13948
134	28569	13755
135	28806	13556
136	29032	13350
137	29268	13149
138	29494	12943
139	29722	12738
140	29962	12537
141	30180	12327
142	30385	12111
143	30597	11898
144	30797	11681
145	30995	11464
146	31238	11262
147	31455	11052
148	31651	10833
149	31873	10624
150	32075	10408
151	32293	10197
152	32469	9974
153	32676	9760
154	32884	9547
155	33095	9334
156	33312	9123
157	33568	8923
158	33756	8704
159	33975	8493
160	34185	8280
161	34425	8075
162	34658	7867
163	34889	7658
164	35101	7445
165	35326	7235
166	35561	7027
167	35743	6808
168	35962	6596
169	36177	6384
170	36373	6168
171	36605	5958
172	36827	5747
173	37078	5540
174	37313	5330
175	37551	5120
176	37816	4914
177	38073	4705
178	38322	4495
179	38548	4283
180	38762	4068
181	38979	3855
182	39145	3636
183	39380	3424
184	39612	3211
185	39864	3000
186	40120	2789
187	40341	2574
188	40578	2361
189	40831	2149
190	41081	1935
191	41299	1720
192	41538	1506
193	41771	1291
194	41993	1076
195	42224	861
196	42466	646
197	42686	431
198	42916	215
199	43152	0
